mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
18.0,8,307.0,130,3504.0,12.0,70.0,1.0
15.0,8,350.0,165,3693.0,11.5,70.0,1.0
18.0,8,318.0,150,3436.0,11.0,70.0,1.0
16.0,8,304.0,150,3433.0,12.0,70.0,1.0
17.0,8,302.0,140,3449.0,10.5,70.0,1.0
15.0,8,429.0,198,4341.0,10.0,70.0,1.0
15.0,8,383.0,170,3563.0,10.0,70.0,1.0
15.0,8,400.0,150,3761.0,9.5,70.0,1.0
24.0,4,113.0,95,2372.0,15.0,70.0,3.0
22.0,6,198.0,95,2833.0,15.5,70.0,1.0
18.0,6,199.0,97,2774.0,15.5,70.0,1.0
21.0,6,200.0,85,2587.0,16.0,70.0,1.0
27.0,4,97.0,88,2130.0,14.5,70.0,3.0
26.0,4,97.0,46,1835.0,20.5,70.0,2.0
25.0,4,110.0,87,2672.0,17.5,70.0,2.0
24.0,4,107.0,90,2430.0,14.5,70.0,2.0
25.0,4,104.0,95,2375.0,17.5,70.0,2.0
26.0,4,121.0,113,2234.0,12.5,70.0,2.0
21.0,6,199.0,90,2648.0,15.0,70.0,1.0
10.0,8,307.0,200,4376.0,15.0,70.0,1.0
9.0,8,304.0,193,4732.0,18.5,70.0,1.0
27.0,4,97.0,88,2130.0,14.5,71.0,3.0
28.0,4,140.0,90,2264.0,15.5,71.0,1.0
25.0,4,113.0,95,2228.0,14.0,71.0,3.0
19.0,6,232.0,100,2634.0,13.0,71.0,1.0
16.0,6,225.0,105,3439.0,15.5,71.0,1.0
17.0,6,250.0,100,3329.0,15.5,71.0,1.0
19.0,6,250.0,88,3302.0,15.5,71.0,1.0
18.0,6,232.0,100,3288.0,15.5,71.0,1.0
14.0,8,350.0,165,4209.0,12.0,71.0,1.0
14.0,8,400.0,175,4464.0,11.5,71.0,1.0
14.0,8,351.0,153,4154.0,13.5,71.0,1.0
14.0,8,318.0,150,4096.0,13.0,71.0,1.0
12.0,8,383.0,180,4955.0,11.5,71.0,1.0
13.0,8,400.0,170,4746.0,12.0,71.0,1.0
13.0,8,400.0,175,5140.0,12.0,71.0,1.0
18.0,6,258.0,110,2962.0,13.5,71.0,1.0
22.0,4,140.0,72,2408.0,19.0,71.0,1.0
19.0,6,250.0,100,3282.0,15.0,71.0,1.0
18.0,6,250.0,88,3139.0,14.5,71.0,1.0
23.0,4,122.0,86,2220.0,14.0,71.0,1.0
28.0,4,116.0,90,2123.0,14.0,71.0,2.0
30.0,4,79.0,70,2074.0,19.5,71.0,2.0
31.0,4,71.0,65,1773.0,19.0,71.0,3.0
35.0,4,72.0,69,1613.0,18.0,71.0,3.0
27.0,4,97.0,60,1834.0,19.0,71.0,2.0
26.0,4,91.0,70,1955.0,20.5,71.0,1.0
24.0,4,113.0,95,2278.0,15.5,72.0,3.0
25.0,4,97.5,80,2126.0,17.0,72.0,1.0
20.0,4,140.0,90,2408.0,19.5,72.0,1.0
21.0,4,122.0,86,2226.0,16.5,72.0,1.0
13.0,8,350.0,165,4274.0,12.0,72.0,1.0
14.0,8,400.0,175,4385.0,12.0,72.0,1.0
15.0,8,318.0,150,4135.0,13.5,72.0,1.0
14.0,8,351.0,153,4129.0,13.0,72.0,1.0
17.0,8,304.0,150,3672.0,11.5,72.0,1.0
13.0,8,350.0,155,4502.0,13.5,72.0,1.0
12.0,8,350.0,160,4456.0,13.5,72.0,1.0
13.0,8,400.0,190,4422.0,12.5,72.0,1.0
19.0,3,70.0,97,2330.0,13.5,72.0,3.0
15.0,8,304.0,150,3892.0,12.5,72.0,1.0
13.0,8,307.0,130,4098.0,14.0,72.0,1.0
13.0,8,302.0,140,4294.0,16.0,72.0,1.0
14.0,8,318.0,150,4077.0,14.0,72.0,1.0
18.0,4,121.0,112,2933.0,14.5,72.0,2.0
22.0,4,121.0,76,2511.0,18.0,72.0,2.0
21.0,4,120.0,87,2979.0,19.5,72.0,2.0
26.0,4,96.0,69,2189.0,18.0,72.0,2.0
22.0,4,122.0,86,2395.0,16.0,72.0,1.0
28.0,4,97.0,92,2288.0,17.0,72.0,3.0
23.0,4,120.0,97,2506.0,14.5,72.0,3.0
28.0,4,98.0,80,2164.0,15.0,72.0,1.0
27.0,4,97.0,88,2100.0,16.5,72.0,3.0
13.0,8,350.0,175,4100.0,13.0,73.0,1.0
14.0,8,304.0,150,3672.0,11.5,73.0,1.0
13.0,8,350.0,145,3988.0,13.0,73.0,1.0
14.0,8,302.0,137,4042.0,14.5,73.0,1.0
15.0,8,318.0,150,3777.0,12.5,73.0,1.0
12.0,8,429.0,198,4952.0,11.5,73.0,1.0
13.0,8,400.0,150,4464.0,12.0,73.0,1.0
13.0,8,351.0,158,4363.0,13.0,73.0,1.0
14.0,8,318.0,150,4237.0,14.5,73.0,1.0
13.0,8,360.0,175,3821.0,11.0,73.0,1.0
18.0,6,225.0,105,3121.0,16.5,73.0,1.0
16.0,6,250.0,100,3278.0,18.0,73.0,1.0
18.0,6,232.0,100,2945.0,16.0,73.0,1.0
18.0,6,250.0,88,3021.0,16.5,73.0,1.0
23.0,6,198.0,95,2904.0,16.0,73.0,1.0
26.0,4,97.0,46,1950.0,21.0,73.0,2.0
11.0,8,400.0,150,4997.0,14.0,73.0,1.0
12.0,8,400.0,167,4906.0,12.5,73.0,1.0
13.0,8,360.0,170,4654.0,13.0,73.0,1.0
12.0,8,350.0,180,4499.0,12.5,73.0,1.0
18.0,6,232.0,100,2789.0,15.0,73.0,1.0
20.0,4,97.0,88,2279.0,19.0,73.0,3.0
21.0,4,140.0,72,2401.0,19.5,73.0,1.0
22.0,4,108.0,94,2379.0,16.5,73.0,3.0
18.0,3,70.0,90,2124.0,13.5,73.0,3.0
19.0,4,122.0,85,2310.0,18.5,73.0,1.0
21.0,6,155.0,107,2472.0,14.0,73.0,1.0
26.0,4,98.0,90,2265.0,15.5,73.0,2.0
15.0,8,350.0,145,4082.0,13.0,73.0,1.0
29.0,4,68.0,49,1867.0,19.5,73.0,2.0
24.0,4,116.0,75,2158.0,15.5,73.0,2.0
20.0,4,114.0,91,2582.0,14.0,73.0,2.0
19.0,4,121.0,112,2868.0,15.5,73.0,2.0
15.0,8,318.0,150,3399.0,11.0,73.0,1.0
24.0,4,121.0,110,2660.0,14.0,73.0,2.0
20.0,6,156.0,122,2807.0,13.5,73.0,3.0
11.0,8,350.0,180,3664.0,11.0,73.0,1.0
20.0,6,198.0,95,3102.0,16.5,74.0,1.0
19.0,6,232.0,100,2901.0,16.0,74.0,1.0
15.0,6,250.0,100,3336.0,17.0,74.0,1.0
31.0,4,79.0,67,1950.0,19.0,74.0,3.0
26.0,4,122.0,80,2451.0,16.5,74.0,1.0
32.0,4,71.0,65,1836.0,21.0,74.0,3.0
25.0,4,140.0,75,2542.0,17.0,74.0,1.0
16.0,6,250.0,100,3781.0,17.0,74.0,1.0
16.0,6,258.0,110,3632.0,18.0,74.0,1.0
18.0,6,225.0,105,3613.0,16.5,74.0,1.0
16.0,8,302.0,140,4141.0,14.0,74.0,1.0
